"band_id","band_name","band_img","band_desc","created_at","updated_at"
"1","MGMT","./img/bands/MGMT/MGMT.png","MGMT (Эм Джи Эм Ти, прежнее название The Management) — американский музыкальный дуэт, рок-группа, основанная в Бруклине, Нью-Йорк, и состоящая из Эндрю ВанВингардена и Бена Голдвассера.","2023-03-02 00:20:03","2023-03-02 00:20:03"
"2","First Aid Kit","./img/bands/FirstAidKit/FirstAidKit.jpg","First Aid Kit (с англ. - «аптечка первой помощи») — шведский фолк-дуэт сестёр Йоханны (р. 1990) и Клары (р. 1993) Сёдерберг. Они выросли в Энскеде, районе на юге Стокгольма, и начали сочинять песни в 2007 году, будучи подростками. В 2008 году благодаря загруженному на YouTube видео, в котором они перепели «Tiger Mountain Peasant Song» группы Fleet Foxes, их имя быстро распространилось в Интернете, и вскоре сёстры исполнили эту песню вместе с её авторами на концерте в Голландии.","2023-03-02 00:20:14","2023-03-02 00:20:14"
"3","The Killers","./img/bands/TheKillers/TheKillers.jpg","The Killers (с англ. - Убийцы) — американская альтернативная рок-группа, образованная в 2001 году Брэндоном Флауэрсом и Дэйвом Кенингом. Название было взято из видеоклипа группы New Order «Crystal» (2001), где под таким именем выступает липовая группа. В музыке The Killers наиболее четко прослеживается влияние групп New Order, Duran Duran, U2 и Oasis.","2023-03-02 00:20:26","2023-03-02 00:20:26"
"4","The Drums","/storage/bands/TheDrums/TheDrums.webp","The Drums — американский музыкальный коллектив, играющий инди-поп. Он был образован в Нью-Йорке в 2006 году участниками группы Elkland (первоначально Goat Explosion). В настоящее время коллектив издаётся на лейблах Moshi Moshi/Island в Великобритании, Universal в Австралии и Frenchkiss в США. Среди музыкантов, повлиявших на творчество The Drums, участники называют The Wake, The Smiths, Joy Division с New Order, The Tough Alliance, The Legends, The Shangri-Las, The Embassy и Orange Juice.","2023-04-03 19:33:13","2023-04-03 19:33:13"
"5","The Garden","/storage/bands/TheGarden/TheGarden.webp","The Garden — американская экспериментальная рок-группа из округа Ориндж, штат Калифорния, образованная в 2011 году братьями-близнецами Уайаттом и Флетчером Ширз. Дуэт выпустил свой дебютный альбом The Life and Times of a Paperclip в 2013 году, за которым последовало несколько небольших релизов. В 2015 году группа выпустила свой второй студийный альбом Haha вместе с синглом «All Smiles Over Here :)», получивший признание критиков после подписания контракта с Epitaph Records. Они выпустили свой третий альбом Mirror Might Steal Your Charm в марте 2018 года, а их четвёртый альбом Kiss My Super Bowl Ring был выпущен в марте 2020 года. Братья гастролировали по США, Европе, Великобритании, Китаю, Японии, Новой Зеландии, Австралии, Канаде, Мексике, а в 2019 году они выступили на Coachella","2023-04-03 19:52:57","2023-04-03 20:02:15"
"6","Depeche Mode","/storage/bands/DepecheMode/DepecheMode.webp","Depeche Mode (рус. Де́пеш мод, в переводе с фр. — «Вестник моды») — британский музыкальный коллектив, представляющий электронную музыку и образовавшийся в 1980 году в городе Базилдон (графство Эссекс). Группа создала собственный узнаваемый стиль, совмещая поджанры электронной и рок-музыки, и стала одной из наиболее успешных групп мира.","2023-04-03 20:13:16","2023-04-03 20:13:16"
"7","Low Roar","/storage/bands/LowRoar/LowRoar.webp","В 2010 году Райан Каразия покинул инди-рок-группу Audrye Sessions в которой был фронтменом и гитаристом. Группа Audrye Sessions была образована в Калифорнии, в Окленде, в 2002 году. Последний свой концерт коллектив отыграл в августе 2010 года. В начале 2011 года Райан Каразия переехал жить в Рейкьявик, Исландия, где основал группу Low Roar и начал работать над одноимённым альбомом.","2023-04-03 20:22:17","2023-04-03 20:22:17"
"8","Justice","/storage/bands/Justice/Justice.webp","Justice — французский хаус дуэт, состоящий из Ксавье де Росне и Гаспара Оже.
Свою популярность и значимое место в музыкальной индустрии они получили благодаря своему необычному отношению к музыке. С самого начала парни хотели писать поп-музыку. Так и получилось. Впервые они заявили о себе на конкурсе ремиксов. Их ремикс на песню группы Simian «Never Be Alone» не помог победить в конкурсе. Однако, несмотря на этот факт, их заметил владелец лейбла Ed Banger Records — Педро Винтер (также известный как Busy P). Они начали выступать в качестве диджей-дуэта на разных вечеринках Ed Banger Records, и после начали делать ремиксы на различных исполнителей, таких как: Franz Ferdinand, Fatboy Slim, Ленни Кравиц, Бритни Спирс и других.","2023-04-03 20:28:47","2023-04-03 20:28:47"
"9","Clean Bandit","/storage/bands/CleanBandit/CleanBandit.webp","Clean Bandit — британская электро-группа, основанная в 2008 году. Этот коллектив в 2010 году выпустил трек «Mozart's House», который был отмечен 17 местом в UK Singles Chart. А в 2014 году выпустили новый сингл «Rather Be», достигший 1 места в этом же чарте. В 2015 году композиция была удостоена премии «Грэмми» в номинации «Лучшая танцевальная запись».","2023-04-03 20:47:43","2023-04-03 20:47:43"
"10","M.I.A.","/storage/bands/M.I.A./M.I.A..webp","Матха́нги «Ма́йа» Арулпрагаса́м (англ. Mathangi ""Maya"" Arulpragasam; род. 18 июля 1975 года), более известная как M.I.A. («Эм-ай-э́й») — британская певица тамильского происхождения, автор песен, которая также продюсирует записи других исполнителей, снимает видеоклипы и выступает в роли художника и дизайнера.","2023-04-03 21:16:50","2023-04-03 21:16:50"
"11","Bloc Party","/storage/bands/BlocParty/BlocParty.webp","Bloc Party — британская инди-рок-группа. Название происходит от искажённого английского «block party» («квартальная вечеринка»), обозначения вечеринки, на которую могут быть приглашены местные музыкальные группы. Другой вариант происхождения названия — от слова «bloc» (англ. группа наций или объединение, имеющее общие интересы), что подчеркивает разнообразие расового состава музыкантов группы.","2023-04-03 21:29:09","2023-04-03 21:29:09"
